Dataset Database Index .y. group1 group2 n1 n2 statistic p p.signif
NAFLD SM_gtdb-rs214-full Richness Index_value A B 18 17 164 0.729 ns
NAFLD SM_gtdb-rs214-full Shannon Index_value A B 18 17 132 0.503 ns
NAFLD SM_gtdb-rs214-full Simpson Index_value A B 18 17 104 0.11 ns
NAFLD SM_gtdb-rs214-full Tail Index_value A B 18 17 163 0.757 ns
NAFLD SM_gtdb-rs214-rep Hill_1 Index_value A B 18 17 145 0.807 ns
NAFLD SM_gtdb-rs214-rep Hill_2 Index_value A B 18 17 111 0.173 ns
NAFLD SM_gtdb-rs214-rep Richness Index_value A B 18 17 176.5 0.448 ns
NAFLD SM_gtdb-rs214-rep Shannon Index_value A B 18 17 145 0.807 ns
NAFLD SM_gtdb-rs214-rep Simpson Index_value A B 18 17 111 0.173 ns
NAFLD SM_gtdb-rs214-rep Tail Index_value A B 18 17 170 0.59 ns
NAFLD SM_gtdb-rs220-rep Hill_1 Index_value A B 17 17 123 0.474 ns
NAFLD SM_gtdb-rs220-rep Hill_2 Index_value A B 17 17 100 0.131 ns
NAFLD SM_gtdb-rs220-rep Richness Index_value A B 17 17 168.5 0.418 ns
NAFLD SM_gtdb-rs220-rep Shannon Index_value A B 17 17 123 0.474 ns
NAFLD SM_gtdb-rs220-rep Simpson Index_value A B 17 17 100 0.131 ns
NAFLD SM_gtdb-rs220-rep Tail Index_value A B 17 17 159 0.634 ns
P19_Gut KB10 Hill_1 Index_value A B 11 10 80 0.0845 ns
P19_Gut KB10 Hill_2 Index_value A B 11 10 79 0.0986 ns
P19_Gut KB10 Richness Index_value A B 11 10 67 0.426 ns
P19_Gut KB10 Shannon Index_value A B 11 10 80 0.0845 ns
P19_Gut KB10 Simpson Index_value A B 11 10 79 0.0986 ns
P19_Gut KB10 Tail Index_value A B 11 10 79 0.0986 ns
P19_Gut KB10_GTDB Hill_1 Index_value A B 11 10 83 0.0513 ns
P19_Gut KB10_GTDB Hill_2 Index_value A B 11 10 74 0.197 ns
P19_Gut KB10_GTDB Richness Index_value A B 11 10 86 0.0295 *
P19_Gut KB10_GTDB Shannon Index_value A B 11 10 83 0.0513 ns
P19_Gut KB10_GTDB Simpson Index_value A B 11 10 74 0.197 ns
P19_Gut KB10_GTDB Tail Index_value A B 11 10 86 0.0295 *
P19_Gut KB45 Hill_1 Index_value A B 11 10 78 0.114 ns
P19_Gut KB45 Hill_2 Index_value A B 11 10 80 0.0845 ns
P19_Gut KB45 Richness Index_value A B 11 10 55 1 ns
P19_Gut KB45 Shannon Index_value A B 11 10 78 0.114 ns
P19_Gut KB45 Simpson Index_value A B 11 10 80 0.0845 ns
